alias,dataset,source_id,variable_id,unit_id,stat,grain,note
底層溶存酸素量,measurements,env_kousui_sample_kanagawa,common:variable:water.do_bottom,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
底層溶存酸素量,measurements,env_kousui_annual_kanagawa,common:variable:water.do_bottom,common:unit:mg_per_l,,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.6: 平成28年追加項目で年間値ファイル利用説明書（平成27年）に未収載。評価方法（日間平均値の年間最低値）への言及はあるが環境省の一次資料で確認できず、stat は空のまま（未確認。Phase A の mean は根拠が無かったため削除した）。
浮遊物質量 SS,measurements,,common:variable:water.ss,common:unit:mg_per_l,mean,day,source_id が空（is_synthetic=1 の合成データ）。
浮遊物質量 SS,measurements,atsugi_river_water_quality,common:variable:water.ss,common:unit:mg_per_l,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
浮遊物質量 SS,measurements,env_kousui_sample_kanagawa,common:variable:water.ss,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
浮遊物質量 SS,measurements,env_kousui_annual_kanagawa,common:variable:water.ss,common:unit:mg_per_l,mean,fiscal_year,
全窒素 T-N,measurements,env_kousui_annual_kanagawa,common:variable:water.tn,common:unit:mg_per_l,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.2 の一次資料調査で stat='mean'（日間平均値の平均値）と確定。
全燐 T-P,measurements,env_kousui_annual_kanagawa,common:variable:water.tp,common:unit:mg_per_l,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.2 の一次資料調査で stat='mean'（日間平均値の平均値）と確定。
pH,measurements,,common:variable:water.ph,common:unit:dimensionless,point,day,web/src/lib/domain.ts の VARIABLE_UNIT_FALLBACK が pH は無次元と既に明記。source_id が空（is_synthetic=1 の合成データ）。
pH,measurements,atsugi_river_water_quality,common:variable:water.ph,common:unit:dimensionless,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
pH,measurements,env_kousui_sample_kanagawa,common:variable:water.ph,common:unit:dimensionless,point,day,web/src/lib/domain.ts の VARIABLE_UNIT_FALLBACK が pH は無次元と既に明記。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
pH（最大値）,measurements,env_kousui_annual_kanagawa,common:variable:water.ph,common:unit:dimensionless,max,fiscal_year,web/src/lib/domain.ts の VARIABLE_UNIT_FALLBACK が pH は無次元と既に明記
pH（最小値）,measurements,env_kousui_annual_kanagawa,common:variable:water.ph,common:unit:dimensionless,min,fiscal_year,web/src/lib/domain.ts の VARIABLE_UNIT_FALLBACK が pH は無次元と既に明記
大腸菌群数,measurements,env_kousui_sample_kanagawa,common:variable:water.coliform_group,common:unit:mpn_per_100ml,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
大腸菌群数,measurements,env_kousui_annual_kanagawa,common:variable:water.coliform_group,common:unit:mpn_per_100ml,mean,fiscal_year,
大腸菌数,measurements,env_kousui_sample_kanagawa,common:variable:water.ecoli,common:unit:cfu_per_100ml,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
大腸菌数,measurements,env_kousui_annual_kanagawa,common:variable:water.ecoli,common:unit:cfu_per_100ml,,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.6: 令和4年度からの新項目で、年間値ファイル利用説明書（平成27年）に未収載。90%値の定義は確認できたが、90%値でない「素の」大腸菌数列の定義を示す一次資料が見つからず、stat は空のまま（未確認。Phase A の mean は根拠が無かったため削除した）。
大腸菌数 90%値,measurements,env_kousui_annual_kanagawa,common:variable:water.ecoli,common:unit:cfu_per_100ml,p90,fiscal_year,
全亜鉛,measurements,env_kousui_sample_kanagawa,common:variable:water.total_zinc,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
全亜鉛,measurements,env_kousui_annual_kanagawa,common:variable:water.total_zinc,common:unit:mg_per_l,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.3: 環境省告示（別表２イ表備考「基準値は、年間平均値とする。」）で基準値は年間平均値と確定。ただし zip_create API のCSV列がその基準値と同一の集計方法で作られていることを直接記載した資料（列レイアウト表）は見つからず、stat='mean' は高確度の一致として維持している。
ノルマルヘキサン抽出物質,measurements,env_kousui_sample_kanagawa,common:variable:water.n_hexane_extract,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
ノルマルヘキサン抽出物質,measurements,env_kousui_annual_kanagawa,common:variable:water.n_hexane_extract,common:unit:mg_per_l,mean,fiscal_year,
直鎖アルキルベンゼンスルホン酸及びその塩 LAS,measurements,env_kousui_sample_kanagawa,common:variable:water.las,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
直鎖アルキルベンゼンスルホン酸及びその塩 LAS,measurements,env_kousui_annual_kanagawa,common:variable:water.las,common:unit:mg_per_l,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.3: 環境省告示（別表２イ表備考「基準値は、年間平均値とする。」）で基準値は年間平均値と確定。ただし zip_create API のCSV列がその基準値と同一の集計方法で作られていることを直接記載した資料（列レイアウト表）は見つからず、stat='mean' は高確度の一致として維持している。
ノニルフェノール,measurements,env_kousui_sample_kanagawa,common:variable:water.nonylphenol,common:unit:mg_per_l,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
ノニルフェノール,measurements,env_kousui_annual_kanagawa,common:variable:water.nonylphenol,common:unit:mg_per_l,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.3: 環境省告示（別表２イ表備考「基準値は、年間平均値とする。」）で基準値は年間平均値と確定。ただし zip_create API のCSV列がその基準値と同一の集計方法で作られていることを直接記載した資料（列レイアウト表）は見つからず、stat='mean' は高確度の一致として維持している。
水温,measurements,,common:variable:water.water_temp,common:unit:degc,point,day,
水温,measurements,env_kousui_sample_kanagawa,common:variable:water.water_temp,common:unit:degc,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
透明度,measurements,env_kousui_sample_kanagawa,common:variable:water.transparency,common:unit:m,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
気温,measurements,,common:variable:weather.air_temp,common:unit:degc,point,day,採水時の気象付帯情報（環境省 公共用水域水質測定）。JMA 由来の気温系列と物理量として同一のため同一 variable に統合。
気温,measurements,env_kousui_sample_kanagawa,common:variable:weather.air_temp,common:unit:degc,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
cd,measurements,env_kousui_annual_kanagawa,common:variable:water.cadmium,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
cn,measurements,env_kousui_annual_kanagawa,common:variable:water.cyanide,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 全シアンは環境基準の評価が年間最高値（他の健康項目26種は年間平均値。kan_w.html）で他と異なる統計量の可能性が高い。ただし zip_create API の列がその集計と同一かを明記した資料は無いため、他項目と同じく stat は空のまま（推測で max を入れない）。
pb,measurements,env_kousui_annual_kanagawa,common:variable:water.lead,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
cr6,measurements,env_kousui_annual_kanagawa,common:variable:water.hexavalent_chromium,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
ass,measurements,env_kousui_annual_kanagawa,common:variable:water.arsenic,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
thg,measurements,env_kousui_annual_kanagawa,common:variable:water.total_mercury,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
srhg,measurements,env_kousui_annual_kanagawa,common:variable:water.alkyl_mercury,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
pcb,measurements,env_kousui_annual_kanagawa,common:variable:water.pcb,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
jikurorometan,measurements,env_kousui_annual_kanagawa,common:variable:water.dichloromethane,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
sienkatanso,measurements,env_kousui_annual_kanagawa,common:variable:water.carbon_tetrachloride,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
jikuroroetan12,measurements,env_kousui_annual_kanagawa,common:variable:water.12_dichloroethane,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
jikuroroechiren11,measurements,env_kousui_annual_kanagawa,common:variable:water.11_dichloroethylene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
s12jikuroroetiren,measurements,env_kousui_annual_kanagawa,common:variable:water.cis12_dichloroethylene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
torikuroroetan111,measurements,env_kousui_annual_kanagawa,common:variable:water.111_trichloroethane,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
torikuroroetan112,measurements,env_kousui_annual_kanagawa,common:variable:water.112_trichloroethane,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
torikuroroechiren,measurements,env_kousui_annual_kanagawa,common:variable:water.trichloroethylene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
tetorakuroroechiren,measurements,env_kousui_annual_kanagawa,common:variable:water.tetrachloroethylene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
jikuroropuropen13,measurements,env_kousui_annual_kanagawa,common:variable:water.13_dichloropropene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
chiraumu,measurements,env_kousui_annual_kanagawa,common:variable:water.thiuram,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
shimajin,measurements,env_kousui_annual_kanagawa,common:variable:water.simazine,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
chiobenkarubu,measurements,env_kousui_annual_kanagawa,common:variable:water.thiobencarb,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
benzen,measurements,env_kousui_annual_kanagawa,common:variable:water.benzene,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
seren,measurements,env_kousui_annual_kanagawa,common:variable:water.selenium,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
nno3,measurements,env_kousui_annual_kanagawa,common:variable:water.nitrate_nitrite_n,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
f,measurements,env_kousui_annual_kanagawa,common:variable:water.fluorine,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
b,measurements,env_kousui_annual_kanagawa,common:variable:water.boron,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
n14jiokisan,measurements,env_kousui_annual_kanagawa,common:variable:water.14_dioxane,common:unit:mg_per_l,,fiscal_year,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
流量関連（公式定義未確認のため原表記のまま）,measurements,env_kousui_sample_kanagawa,common:variable:hydro.flow,,point,day,原本の収集スクリプト(scripts/c12_env_kousui.py)が公式定義を確認できず未確定のまま出力している。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.3 の一次資料調査で公式定義（流量、単位 m3/s、MK_manu.pdf 一般項目ファイル項目19=090700）が判明し、registry/variable.yaml の name_ja/unit_id/description_ja/status に反映済み（本PRで対応）。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
地下水位(年平均),measurements,kanagawa_jiban_chinka,common:variable:hydro.groundwater_level,common:unit:t_p_m,mean,year,
最大沈下量(基準点),measurements,kanagawa_jiban_chinka,common:variable:land.max_subsidence,common:unit:cm,max,year,
有効水準点数,measurements,kanagawa_jiban_chinka,common:variable:land.benchmark_count_valid,common:unit:count,,year,
沈下水準点数(1cm以上2cm未満),measurements,kanagawa_jiban_chinka,common:variable:land.benchmark_count_settled_1_2cm,common:unit:count,,year,
沈下水準点数(2cm以上),measurements,kanagawa_jiban_chinka,common:variable:land.benchmark_count_settled_2cm_plus,common:unit:count,,year,
沈下面積(1cm以上2cm未満),measurements,kanagawa_jiban_chinka,common:variable:land.subsidence_area_1_2cm,common:unit:km2,,year,
